
 jobname = Hartree_V // full set of hyperons                 
 M= 1.5000 M_sol,   R= 13.9558 km

  radial distance  |     m(r)       |  energy density  | number density
      (meter)          (M_sol)            (MeV/fm^3)       (1/fm^3)
   0.8788581E+04     0.7465037E+00     0.2317753E+03     0.2336838E+00
   0.8800346E+04     0.7488768E+00     0.2314120E+03     0.2332866E+00
   0.8812111E+04     0.7512526E+00     0.2310474E+03     0.2328881E+00
   0.8823876E+04     0.7536309E+00     0.2306815E+03     0.2324883E+00
   0.8835641E+04     0.7560118E+00     0.2303142E+03     0.2320870E+00
   0.8847406E+04     0.7583953E+00     0.2299455E+03     0.2316844E+00
   0.8859172E+04     0.7607813E+00     0.2295755E+03     0.2312804E+00
   0.8870937E+04     0.7631699E+00     0.2292041E+03     0.2308749E+00
   0.8882702E+04     0.7655609E+00     0.2288313E+03     0.2304682E+00
   0.8894468E+04     0.7679543E+00     0.2284571E+03     0.2300599E+00
   0.8906232E+04     0.7703501E+00     0.2280815E+03     0.2296503E+00
   0.8917998E+04     0.7727482E+00     0.2277044E+03     0.2292392E+00
   0.8929762E+04     0.7751487E+00     0.2273259E+03     0.2288267E+00
   0.8941528E+04     0.7775515E+00     0.2269459E+03     0.2284128E+00
   0.8953293E+04     0.7799566E+00     0.2265644E+03     0.2279975E+00
   0.8965058E+04     0.7823640E+00     0.2261815E+03     0.2275807E+00
   0.8976824E+04     0.7847738E+00     0.2257970E+03     0.2271625E+00
   0.8988589E+04     0.7871857E+00     0.2254111E+03     0.2267428E+00
   0.9000354E+04     0.7895997E+00     0.2250237E+03     0.2263217E+00
   0.9012119E+04     0.7920159E+00     0.2246347E+03     0.2258991E+00
   0.9023884E+04     0.7944342E+00     0.2242442E+03     0.2254750E+00
   0.9035649E+04     0.7968546E+00     0.2238521E+03     0.2250496E+00
   0.9047414E+04     0.7992770E+00     0.2234585E+03     0.2246226E+00
   0.9059179E+04     0.8017014E+00     0.2230633E+03     0.2241942E+00
   0.9070945E+04     0.8041281E+00     0.2226666E+03     0.2237642E+00
   0.9082711E+04     0.8065565E+00     0.2222682E+03     0.2233329E+00
   0.9094475E+04     0.8089868E+00     0.2218683E+03     0.2229000E+00
   0.9106241E+04     0.8114191E+00     0.2214668E+03     0.2224657E+00
   0.9118005E+04     0.8138458E+00     0.2142833E+03     0.2139290E+00
   0.9129771E+04     0.8162068E+00     0.2138570E+03     0.2134657E+00
   0.9141536E+04     0.8185692E+00     0.2134306E+03     0.2130025E+00
   0.9153301E+04     0.8209330E+00     0.2130039E+03     0.2125395E+00
   0.9165066E+04     0.8232982E+00     0.2125770E+03     0.2120767E+00
   0.9176831E+04     0.8256648E+00     0.2121498E+03     0.2116140E+00
   0.9188597E+04     0.8280326E+00     0.2117225E+03     0.2111515E+00
   0.9200362E+04     0.8304017E+00     0.2112949E+03     0.2106892E+00
   0.9212127E+04     0.8327720E+00     0.2108672E+03     0.2102271E+00
   0.9223892E+04     0.8351436E+00     0.2104392E+03     0.2097652E+00
   0.9235657E+04     0.8375163E+00     0.2100111E+03     0.2093035E+00
   0.9247422E+04     0.8398904E+00     0.2095828E+03     0.2088421E+00
   0.9259188E+04     0.8422656E+00     0.2091543E+03     0.2083809E+00
   0.9270954E+04     0.8446422E+00     0.2087255E+03     0.2079200E+00
   0.9282718E+04     0.8470197E+00     0.2082967E+03     0.2074593E+00
   0.9294483E+04     0.8493983E+00     0.2078677E+03     0.2069989E+00
   0.9306248E+04     0.8517781E+00     0.2074385E+03     0.2065389E+00
   0.9318014E+04     0.8541589E+00     0.2070092E+03     0.2060791E+00
   0.9329778E+04     0.8565409E+00     0.2065797E+03     0.2056196E+00
   0.9341543E+04     0.8589239E+00     0.2061501E+03     0.2051605E+00
   0.9353308E+04     0.8613079E+00     0.2057203E+03     0.2047017E+00
   0.9365074E+04     0.8636929E+00     0.2052904E+03     0.2042432E+00
   0.9376840E+04     0.8660792E+00     0.2048603E+03     0.2037851E+00
   0.9388605E+04     0.8684661E+00     0.2044301E+03     0.2033273E+00
   0.9400369E+04     0.8708541E+00     0.2039999E+03     0.2028700E+00
   0.9412135E+04     0.8732430E+00     0.2035695E+03     0.2024130E+00
   0.9423900E+04     0.8756328E+00     0.2031390E+03     0.2019564E+00
   0.9435665E+04     0.8780236E+00     0.2027084E+03     0.2015002E+00
   0.9447430E+04     0.8804151E+00     0.2022776E+03     0.2010444E+00
   0.9459195E+04     0.8828077E+00     0.2018468E+03     0.2005891E+00
   0.9470961E+04     0.8852012E+00     0.2014159E+03     0.2001341E+00
   0.9482726E+04     0.8875954E+00     0.2009849E+03     0.1996796E+00
   0.9494491E+04     0.8899903E+00     0.2005539E+03     0.1992256E+00
   0.9506256E+04     0.8923860E+00     0.2001228E+03     0.1987720E+00
   0.9518021E+04     0.8947825E+00     0.1996915E+03     0.1983189E+00
   0.9529786E+04     0.8971798E+00     0.1992603E+03     0.1978663E+00
   0.9541551E+04     0.8995779E+00     0.1988290E+03     0.1974142E+00
   0.9553317E+04     0.9019766E+00     0.1983976E+03     0.1969625E+00
   0.9565082E+04     0.9043760E+00     0.1979662E+03     0.1965114E+00
   0.9576848E+04     0.9067763E+00     0.1975347E+03     0.1960608E+00
   0.9588612E+04     0.9091771E+00     0.1971032E+03     0.1956107E+00
   0.9600377E+04     0.9115785E+00     0.1966717E+03     0.1951611E+00
   0.9612143E+04     0.9139805E+00     0.1962401E+03     0.1947121E+00
   0.9623908E+04     0.9163831E+00     0.1958086E+03     0.1942637E+00
   0.9635673E+04     0.9187863E+00     0.1953770E+03     0.1938158E+00
   0.9647437E+04     0.9211900E+00     0.1949454E+03     0.1933684E+00
   0.9659203E+04     0.9235943E+00     0.1945139E+03     0.1929217E+00
   0.9670969E+04     0.9259993E+00     0.1940822E+03     0.1924755E+00
   0.9682734E+04     0.9284047E+00     0.1936507E+03     0.1920299E+00
   0.9694499E+04     0.9308105E+00     0.1932191E+03     0.1915849E+00
   0.9706264E+04     0.9332168E+00     0.1927876E+03     0.1911406E+00
   0.9718029E+04     0.9356234E+00     0.1923561E+03     0.1906968E+00
   0.9729794E+04     0.9380307E+00     0.1919246E+03     0.1902537E+00
   0.9741559E+04     0.9404382E+00     0.1914932E+03     0.1898113E+00
   0.9753325E+04     0.9428461E+00     0.1910618E+03     0.1893694E+00
   0.9765089E+04     0.9452545E+00     0.1906304E+03     0.1889282E+00
   0.9776855E+04     0.9476633E+00     0.1901990E+03     0.1884876E+00
   0.9788620E+04     0.9500723E+00     0.1897678E+03     0.1880477E+00
   0.9800385E+04     0.9524817E+00     0.1893366E+03     0.1876085E+00
   0.9812151E+04     0.9548913E+00     0.1889055E+03     0.1871700E+00
   0.9823916E+04     0.9573012E+00     0.1884744E+03     0.1867321E+00
   0.9835680E+04     0.9597114E+00     0.1880435E+03     0.1862950E+00
   0.9847446E+04     0.9621217E+00     0.1876127E+03     0.1858586E+00
   0.9859211E+04     0.9645325E+00     0.1871819E+03     0.1854229E+00
   0.9870977E+04     0.9669435E+00     0.1867512E+03     0.1849879E+00
   0.9882742E+04     0.9693543E+00     0.1863206E+03     0.1845536E+00
   0.9894506E+04     0.9717657E+00     0.1858902E+03     0.1841200E+00
   0.9906272E+04     0.9741771E+00     0.1854598E+03     0.1836872E+00
   0.9918037E+04     0.9765885E+00     0.1850296E+03     0.1832552E+00
   0.9929802E+04     0.9790000E+00     0.1845995E+03     0.1828239E+00
   0.9941567E+04     0.9814116E+00     0.1841696E+03     0.1823933E+00
   0.9953332E+04     0.9838236E+00     0.1837397E+03     0.1819635E+00
   0.9965097E+04     0.9862356E+00     0.1833101E+03     0.1815345E+00
   0.9976863E+04     0.9886478E+00     0.1828805E+03     0.1811062E+00
   0.9988628E+04     0.9910598E+00     0.1824511E+03     0.1806788E+00
   0.1000039E+05     0.9934719E+00     0.1820219E+03     0.1802521E+00
   0.1001216E+05     0.9958839E+00     0.1815928E+03     0.1798263E+00
   0.1002392E+05     0.9982959E+00     0.1811640E+03     0.1794012E+00
   0.1003569E+05     0.1000708E+01     0.1807353E+03     0.1789769E+00
   0.1004745E+05     0.1003119E+01     0.1803067E+03     0.1785535E+00
   0.1005922E+05     0.1005531E+01     0.1798784E+03     0.1781309E+00
   0.1007098E+05     0.1007942E+01     0.1794502E+03     0.1777091E+00
   0.1008275E+05     0.1010354E+01     0.1790223E+03     0.1772881E+00
   0.1009451E+05     0.1012765E+01     0.1785946E+03     0.1768680E+00
   0.1010628E+05     0.1015177E+01     0.1781671E+03     0.1764487E+00
   0.1011804E+05     0.1017588E+01     0.1777397E+03     0.1760303E+00
   0.1012981E+05     0.1019999E+01     0.1773127E+03     0.1756127E+00
   0.1014158E+05     0.1022409E+01     0.1768858E+03     0.1751960E+00
   0.1015334E+05     0.1024819E+01     0.1764592E+03     0.1747802E+00
   0.1016510E+05     0.1027230E+01     0.1760328E+03     0.1743652E+00
   0.1017687E+05     0.1029640E+01     0.1756066E+03     0.1739511E+00
   0.1018864E+05     0.1032050E+01     0.1751807E+03     0.1735379E+00
   0.1020040E+05     0.1034459E+01     0.1747551E+03     0.1731256E+00
   0.1021217E+05     0.1036868E+01     0.1743297E+03     0.1727141E+00
   0.1022393E+05     0.1039277E+01     0.1739046E+03     0.1723036E+00
   0.1023570E+05     0.1041685E+01     0.1734798E+03     0.1718940E+00
   0.1024746E+05     0.1044093E+01     0.1730552E+03     0.1714853E+00
   0.1025923E+05     0.1046501E+01     0.1726309E+03     0.1710775E+00
   0.1027099E+05     0.1048908E+01     0.1722068E+03     0.1706705E+00
   0.1028276E+05     0.1051315E+01     0.1717832E+03     0.1702646E+00
   0.1029452E+05     0.1053721E+01     0.1713597E+03     0.1698595E+00
   0.1030629E+05     0.1056127E+01     0.1709366E+03     0.1694554E+00
   0.1031805E+05     0.1058533E+01     0.1705139E+03     0.1690522E+00
   0.1032982E+05     0.1060938E+01     0.1700914E+03     0.1686500E+00
   0.1034158E+05     0.1063342E+01     0.1696692E+03     0.1682487E+00
   0.1035335E+05     0.1065747E+01     0.1692474E+03     0.1678483E+00
   0.1036511E+05     0.1068150E+01     0.1688259E+03     0.1674489E+00
   0.1037688E+05     0.1070553E+01     0.1684047E+03     0.1670504E+00
   0.1038864E+05     0.1072955E+01     0.1679838E+03     0.1666529E+00
   0.1040041E+05     0.1075357E+01     0.1675634E+03     0.1662564E+00
   0.1041217E+05     0.1077759E+01     0.1671432E+03     0.1658609E+00
   0.1042394E+05     0.1080159E+01     0.1667235E+03     0.1654663E+00
   0.1043570E+05     0.1082559E+01     0.1663041E+03     0.1650727E+00
   0.1044747E+05     0.1084959E+01     0.1658850E+03     0.1646800E+00
   0.1045923E+05     0.1087357E+01     0.1654663E+03     0.1642884E+00
   0.1047100E+05     0.1089756E+01     0.1650480E+03     0.1638977E+00
   0.1048276E+05     0.1092153E+01     0.1646301E+03     0.1635080E+00
   0.1049453E+05     0.1094550E+01     0.1642126E+03     0.1631193E+00
   0.1050630E+05     0.1096946E+01     0.1637955E+03     0.1627316E+00
   0.1051806E+05     0.1099341E+01     0.1633788E+03     0.1623449E+00
   0.1052983E+05     0.1101736E+01     0.1629624E+03     0.1619592E+00
   0.1054159E+05     0.1104129E+01     0.1625465E+03     0.1615746E+00
   0.1055336E+05     0.1106522E+01     0.1621310E+03     0.1611909E+00
   0.1056512E+05     0.1108914E+01     0.1617159E+03     0.1608082E+00
   0.1057689E+05     0.1111306E+01     0.1613012E+03     0.1604265E+00
   0.1058865E+05     0.1113696E+01     0.1608870E+03     0.1600459E+00
   0.1060042E+05     0.1116086E+01     0.1604731E+03     0.1596662E+00
   0.1061218E+05     0.1118475E+01     0.1600596E+03     0.1592874E+00
   0.1062395E+05     0.1120863E+01     0.1596463E+03     0.1589093E+00
   0.1063571E+05     0.1123250E+01     0.1592329E+03     0.1585316E+00
   0.1064748E+05     0.1125636E+01     0.1588194E+03     0.1581542E+00
   0.1065924E+05     0.1128021E+01     0.1584056E+03     0.1577769E+00
   0.1067101E+05     0.1130406E+01     0.1579914E+03     0.1573995E+00
   0.1068277E+05     0.1132789E+01     0.1575766E+03     0.1570219E+00
   0.1069454E+05     0.1135171E+01     0.1571612E+03     0.1566438E+00
   0.1070630E+05     0.1137552E+01     0.1567450E+03     0.1562651E+00
   0.1071807E+05     0.1139932E+01     0.1563278E+03     0.1558857E+00
   0.1072983E+05     0.1142311E+01     0.1559096E+03     0.1555054E+00
   0.1074160E+05     0.1144689E+01     0.1554902E+03     0.1551240E+00
   0.1075336E+05     0.1147065E+01     0.1550695E+03     0.1547413E+00
   0.1076513E+05     0.1149441E+01     0.1546474E+03     0.1543573E+00
   0.1077689E+05     0.1151815E+01     0.1542237E+03     0.1539717E+00
   0.1078866E+05     0.1154187E+01     0.1537984E+03     0.1535845E+00
   0.1080042E+05     0.1156559E+01     0.1533714E+03     0.1531954E+00
   0.1081219E+05     0.1158929E+01     0.1529426E+03     0.1528044E+00
   0.1082395E+05     0.1161297E+01     0.1525118E+03     0.1524113E+00
   0.1083572E+05     0.1163664E+01     0.1520790E+03     0.1520160E+00
   0.1084748E+05     0.1166029E+01     0.1516441E+03     0.1516184E+00
   0.1085925E+05     0.1168392E+01     0.1512069E+03     0.1512183E+00
   0.1087102E+05     0.1170754E+01     0.1507674E+03     0.1508156E+00
   0.1088278E+05     0.1173114E+01     0.1503255E+03     0.1504102E+00
   0.1089455E+05     0.1175472E+01     0.1498812E+03     0.1500020E+00
   0.1090631E+05     0.1177828E+01     0.1494343E+03     0.1495909E+00
   0.1091808E+05     0.1180183E+01     0.1489848E+03     0.1491767E+00
   0.1092984E+05     0.1182535E+01     0.1485325E+03     0.1487595E+00
   0.1094161E+05     0.1184885E+01     0.1480775E+03     0.1483390E+00
   0.1095337E+05     0.1187233E+01     0.1476197E+03     0.1479152E+00
   0.1096514E+05     0.1189579E+01     0.1471589E+03     0.1474880E+00
   0.1097690E+05     0.1191922E+01     0.1466952E+03     0.1470572E+00
   0.1098867E+05     0.1194263E+01     0.1462284E+03     0.1466229E+00
   0.1100043E+05     0.1196602E+01     0.1457586E+03     0.1461849E+00
   0.1101220E+05     0.1198937E+01     0.1452856E+03     0.1457432E+00
   0.1102396E+05     0.1201270E+01     0.1448094E+03     0.1452977E+00
   0.1103573E+05     0.1203601E+01     0.1443300E+03     0.1448483E+00
   0.1104749E+05     0.1205929E+01     0.1438473E+03     0.1443949E+00
   0.1105926E+05     0.1208253E+01     0.1433612E+03     0.1439376E+00
   0.1107102E+05     0.1210576E+01     0.1428718E+03     0.1434761E+00
   0.1108279E+05     0.1212894E+01     0.1423790E+03     0.1430105E+00
   0.1109455E+05     0.1215210E+01     0.1418828E+03     0.1425407E+00
   0.1110632E+05     0.1217523E+01     0.1413831E+03     0.1420667E+00
   0.1111808E+05     0.1219740E+01     0.1338468E+03     0.1357615E+00
   0.1112985E+05     0.1221930E+01     0.1333138E+03     0.1352593E+00
   0.1114161E+05     0.1224116E+01     0.1327840E+03     0.1347584E+00
   0.1115338E+05     0.1226299E+01     0.1322573E+03     0.1342589E+00
   0.1116514E+05     0.1228477E+01     0.1317338E+03     0.1337608E+00
   0.1117691E+05     0.1230651E+01     0.1312134E+03     0.1332640E+00
   0.1118868E+05     0.1232821E+01     0.1306963E+03     0.1327686E+00
   0.1120044E+05     0.1234987E+01     0.1301824E+03     0.1322746E+00
   0.1121221E+05     0.1237149E+01     0.1296719E+03     0.1317820E+00
   0.1122397E+05     0.1239307E+01     0.1291646E+03     0.1312907E+00
   0.1123574E+05     0.1241461E+01     0.1286606E+03     0.1308009E+00
   0.1124750E+05     0.1243611E+01     0.1281600E+03     0.1303126E+00
   0.1125927E+05     0.1245758E+01     0.1276627E+03     0.1298256E+00
   0.1127103E+05     0.1247900E+01     0.1271688E+03     0.1293401E+00
   0.1128280E+05     0.1250039E+01     0.1266782E+03     0.1288559E+00
   0.1129456E+05     0.1252174E+01     0.1261911E+03     0.1283733E+00
   0.1130633E+05     0.1254306E+01     0.1257074E+03     0.1278920E+00
   0.1131809E+05     0.1256433E+01     0.1252271E+03     0.1274123E+00
   0.1132986E+05     0.1258557E+01     0.1247502E+03     0.1269339E+00
   0.1134162E+05     0.1260677E+01     0.1242768E+03     0.1264571E+00
   0.1135339E+05     0.1262793E+01     0.1238068E+03     0.1259816E+00
   0.1136515E+05     0.1264906E+01     0.1233404E+03     0.1255077E+00
   0.1137692E+05     0.1267016E+01     0.1228773E+03     0.1250351E+00
   0.1138868E+05     0.1269121E+01     0.1224178E+03     0.1245641E+00
   0.1140045E+05     0.1271223E+01     0.1219618E+03     0.1240944E+00
   0.1141221E+05     0.1273322E+01     0.1215092E+03     0.1236263E+00
   0.1142398E+05     0.1275417E+01     0.1210602E+03     0.1231596E+00
   0.1143574E+05     0.1277509E+01     0.1206146E+03     0.1226944E+00
   0.1144751E+05     0.1279598E+01     0.1201726E+03     0.1222307E+00
   0.1145927E+05     0.1281683E+01     0.1197340E+03     0.1217684E+00
   0.1147104E+05     0.1283764E+01     0.1192990E+03     0.1213076E+00
   0.1148280E+05     0.1285843E+01     0.1188675E+03     0.1208482E+00
   0.1149457E+05     0.1287918E+01     0.1184395E+03     0.1203903E+00
   0.1150633E+05     0.1289990E+01     0.1180150E+03     0.1199338E+00
   0.1151810E+05     0.1292059E+01     0.1175940E+03     0.1194788E+00
   0.1152987E+05     0.1294125E+01     0.1171765E+03     0.1190253E+00
   0.1154163E+05     0.1296187E+01     0.1167626E+03     0.1185732E+00
   0.1155339E+05     0.1298247E+01     0.1163521E+03     0.1181225E+00
   0.1156516E+05     0.1300303E+01     0.1159451E+03     0.1176734E+00
   0.1157693E+05     0.1302357E+01     0.1155416E+03     0.1172256E+00
   0.1158869E+05     0.1304408E+01     0.1151417E+03     0.1167793E+00
   0.1160046E+05     0.1306455E+01     0.1147452E+03     0.1163344E+00
   0.1161222E+05     0.1308500E+01     0.1143522E+03     0.1158910E+00
   0.1162399E+05     0.1310541E+01     0.1139627E+03     0.1154490E+00
   0.1163575E+05     0.1312580E+01     0.1135767E+03     0.1150084E+00
   0.1164752E+05     0.1314616E+01     0.1131941E+03     0.1145693E+00
   0.1165928E+05     0.1316650E+01     0.1128151E+03     0.1141315E+00
   0.1167105E+05     0.1318681E+01     0.1124394E+03     0.1136952E+00
   0.1168281E+05     0.1320709E+01     0.1120672E+03     0.1132603E+00
   0.1169458E+05     0.1322734E+01     0.1116985E+03     0.1128268E+00
   0.1170634E+05     0.1324757E+01     0.1113331E+03     0.1123947E+00
   0.1171811E+05     0.1326778E+01     0.1109713E+03     0.1119640E+00
   0.1172987E+05     0.1328795E+01     0.1106128E+03     0.1115347E+00
   0.1174164E+05     0.1330811E+01     0.1102577E+03     0.1111067E+00
   0.1175340E+05     0.1332824E+01     0.1099061E+03     0.1106802E+00
   0.1176517E+05     0.1334834E+01     0.1095578E+03     0.1102550E+00
   0.1177693E+05     0.1336843E+01     0.1092129E+03     0.1098311E+00
   0.1178870E+05     0.1338849E+01     0.1088708E+03     0.1094083E+00
   0.1180046E+05     0.1340852E+01     0.1085306E+03     0.1089856E+00
   0.1181223E+05     0.1342854E+01     0.1081912E+03     0.1085622E+00
   0.1182399E+05     0.1344853E+01     0.1078514E+03     0.1081373E+00
   0.1183576E+05     0.1346850E+01     0.1075102E+03     0.1077101E+00
   0.1184752E+05     0.1348844E+01     0.1071668E+03     0.1072797E+00
   0.1185929E+05     0.1350836E+01     0.1068200E+03     0.1068456E+00
   0.1187105E+05     0.1352825E+01     0.1064689E+03     0.1064069E+00
   0.1188282E+05     0.1354812E+01     0.1061127E+03     0.1059628E+00
   0.1189459E+05     0.1356796E+01     0.1057504E+03     0.1055129E+00
   0.1190635E+05     0.1358777E+01     0.1053812E+03     0.1050563E+00
   0.1191812E+05     0.1360755E+01     0.1050043E+03     0.1045925E+00
   0.1192988E+05     0.1362730E+01     0.1046188E+03     0.1041209E+00
   0.1194165E+05     0.1364701E+01     0.1042240E+03     0.1036409E+00
   0.1195341E+05     0.1366669E+01     0.1038192E+03     0.1031520E+00
   0.1196518E+05     0.1368632E+01     0.1034037E+03     0.1026535E+00
   0.1197694E+05     0.1370592E+01     0.1029767E+03     0.1021451E+00
   0.1198871E+05     0.1372547E+01     0.1025377E+03     0.1016263E+00
   0.1200047E+05     0.1374498E+01     0.1020860E+03     0.1010965E+00
   0.1201224E+05     0.1376444E+01     0.1016212E+03     0.1005556E+00
   0.1202400E+05     0.1378384E+01     0.1011426E+03     0.1000029E+00
   0.1203577E+05     0.1380319E+01     0.1006497E+03     0.9943831E-01
   0.1204753E+05     0.1382248E+01     0.1001422E+03     0.9886137E-01
   0.1205930E+05     0.1384171E+01     0.9961955E+02     0.9827184E-01
   0.1207106E+05     0.1386088E+01     0.9908141E+02     0.9766947E-01
   0.1208283E+05     0.1387998E+01     0.9852742E+02     0.9705400E-01
   0.1209459E+05     0.1389634E+01     0.8261897E+02     0.7981971E-01
   0.1210636E+05     0.1391231E+01     0.8196589E+02     0.7910644E-01
   0.1211812E+05     0.1392819E+01     0.8133216E+02     0.7841728E-01
   0.1212989E+05     0.1394397E+01     0.8071785E+02     0.7775232E-01
   0.1214165E+05     0.1395967E+01     0.8012302E+02     0.7711166E-01
   0.1215342E+05     0.1397528E+01     0.7954768E+02     0.7649536E-01
   0.1216518E+05     0.1399081E+01     0.7899189E+02     0.7590351E-01
   0.1217695E+05     0.1400627E+01     0.7845561E+02     0.7533606E-01
   0.1218871E+05     0.1402165E+01     0.7793893E+02     0.7479317E-01
   0.1220048E+05     0.1403696E+01     0.7744183E+02     0.7427482E-01
   0.1221225E+05     0.1405220E+01     0.7696430E+02     0.7378106E-01
   0.1222401E+05     0.1406738E+01     0.7650636E+02     0.7331189E-01
   0.1223577E+05     0.1408250E+01     0.7606798E+02     0.7286733E-01
   0.1224754E+05     0.1409757E+01     0.7564918E+02     0.7244743E-01
   0.1225931E+05     0.1411258E+01     0.7524996E+02     0.7205220E-01
   0.1227107E+05     0.1412754E+01     0.7487032E+02     0.7168168E-01
   0.1228284E+05     0.1414246E+01     0.7451025E+02     0.7133587E-01
   0.1229460E+05     0.1415734E+01     0.7416980E+02     0.7101487E-01
   0.1230637E+05     0.1417218E+01     0.7384898E+02     0.7071870E-01
   0.1231813E+05     0.1418698E+01     0.7354779E+02     0.7044742E-01
   0.1232990E+05     0.1420175E+01     0.7326628E+02     0.7020109E-01
   0.1234166E+05     0.1421650E+01     0.7300449E+02     0.6997981E-01
   0.1235343E+05     0.1423122E+01     0.7276246E+02     0.6978366E-01
   0.1236519E+05     0.1424593E+01     0.7254025E+02     0.6961274E-01
   0.1237696E+05     0.1426062E+01     0.7233794E+02     0.6946718E-01
   0.1238872E+05     0.1427529E+01     0.7215563E+02     0.6934713E-01
   0.1240049E+05     0.1428997E+01     0.7199341E+02     0.6925274E-01
   0.1241225E+05     0.1430463E+01     0.7185138E+02     0.6918417E-01
   0.1242402E+05     0.1431930E+01     0.7172968E+02     0.6914163E-01
   0.1243578E+05     0.1433398E+01     0.7162845E+02     0.6912533E-01
   0.1244755E+05     0.1434866E+01     0.7154785E+02     0.6913552E-01
   0.1245931E+05     0.1436335E+01     0.7148807E+02     0.6917245E-01
   0.1247108E+05     0.1437806E+01     0.7144930E+02     0.6923642E-01
   0.1248284E+05     0.1439280E+01     0.7143177E+02     0.6932775E-01
   0.1249461E+05     0.1440756E+01     0.7143572E+02     0.6944677E-01
   0.1250637E+05     0.1442235E+01     0.7146142E+02     0.6959388E-01
   0.1251814E+05     0.1443718E+01     0.7150916E+02     0.6976946E-01
   0.1252990E+05     0.1445204E+01     0.7157925E+02     0.6997397E-01
   0.1254167E+05     0.1446696E+01     0.7167056E+02     0.7020625E-01
   0.1255343E+05     0.1448192E+01     0.7177351E+02     0.7045586E-01
   0.1256520E+05     0.1449692E+01     0.7187551E+02     0.7070903E-01
   0.1257697E+05     0.1451198E+01     0.7196397E+02     0.7095195E-01
   0.1258873E+05     0.1452708E+01     0.7202625E+02     0.7117069E-01
   0.1260050E+05     0.1454222E+01     0.7204978E+02     0.7135143E-01
   0.1261226E+05     0.1455739E+01     0.7202211E+02     0.7148044E-01
   0.1262403E+05     0.1457258E+01     0.7193103E+02     0.7154417E-01
   0.1263579E+05     0.1458776E+01     0.7176472E+02     0.7152949E-01
   0.1264756E+05     0.1460293E+01     0.7151189E+02     0.7142379E-01
   0.1265932E+05     0.1461807E+01     0.7116202E+02     0.7121527E-01
   0.1267109E+05     0.1463315E+01     0.7070553E+02     0.7089311E-01
   0.1268285E+05     0.1464816E+01     0.7013394E+02     0.7044767E-01
   0.1269462E+05     0.1466305E+01     0.3419271E+02     0.3982814E-01
   0.1270638E+05     0.1467027E+01     0.3334333E+02     0.3909972E-01
   0.1271815E+05     0.1467734E+01     0.3256563E+02     0.3842552E-01
   0.1272991E+05     0.1468425E+01     0.3185626E+02     0.3780293E-01
   0.1274168E+05     0.1469103E+01     0.3121213E+02     0.3722950E-01
   0.1275344E+05     0.1469769E+01     0.3063045E+02     0.3670305E-01
   0.1276521E+05     0.1470425E+01     0.3010876E+02     0.3622157E-01
   0.1277697E+05     0.1471071E+01     0.2964479E+02     0.3578327E-01
   0.1278874E+05     0.1471709E+01     0.2923676E+02     0.3538667E-01
   0.1280050E+05     0.1472340E+01     0.2888301E+02     0.3503039E-01
   0.1281227E+05     0.1472964E+01     0.2858222E+02     0.3471333E-01
   0.1282403E+05     0.1473584E+01     0.2833340E+02     0.3443458E-01
   0.1283580E+05     0.1474200E+01     0.2813581E+02     0.3419343E-01
   0.1284756E+05     0.1474813E+01     0.2798905E+02     0.3398943E-01
   0.1285933E+05     0.1475424E+01     0.2789299E+02     0.3382233E-01
   0.1287109E+05     0.1476036E+01     0.2784786E+02     0.3369210E-01
   0.1288286E+05     0.1476648E+01     0.2785421E+02     0.3359896E-01
   0.1289463E+05     0.1477261E+01     0.2791297E+02     0.3354342E-01
   0.1290639E+05     0.1477878E+01     0.2802543E+02     0.3352622E-01
   0.1291815E+05     0.1478498E+01     0.2819330E+02     0.3354841E-01
   0.1292992E+05     0.1479124E+01     0.2841879E+02     0.3361136E-01
   0.1294169E+05     0.1479757E+01     0.2870457E+02     0.3371681E-01
   0.1295345E+05     0.1480398E+01     0.2905392E+02     0.3386690E-01
   0.1296521E+05     0.1481048E+01     0.2947073E+02     0.3406419E-01
   0.1297698E+05     0.1481710E+01     0.2995970E+02     0.3431182E-01
   0.1298875E+05     0.1482385E+01     0.3052623E+02     0.3461344E-01
   0.1300051E+05     0.1483074E+01     0.3117684E+02     0.3497342E-01
   0.1301228E+05     0.1483780E+01     0.3191914E+02     0.3539696E-01
   0.1302404E+05     0.1484505E+01     0.3276210E+02     0.3589015E-01
   0.1303581E+05     0.1485252E+01     0.3371628E+02     0.3646024E-01
   0.1304757E+05     0.1486022E+01     0.3479416E+02     0.3711577E-01
   0.1305934E+05     0.1486820E+01     0.3601055E+02     0.3786694E-01
   0.1307110E+05     0.1487648E+01     0.3738301E+02     0.3872588E-01
   0.1308287E+05     0.1488510E+01     0.3893270E+02     0.3970719E-01
   0.1309463E+05     0.1489411E+01     0.4066542E+02     0.4081201E-01
   0.1310640E+05     0.1490354E+01     0.4239060E+02     0.4187564E-01
   0.1311816E+05     0.1491335E+01     0.4374425E+02     0.4258930E-01
   0.1312993E+05     0.1492340E+01     0.4429159E+02     0.4258887E-01
   0.1314169E+05     0.1493364E+01     0.5045443E+02     0.4716066E-01
   0.1315346E+05     0.1494498E+01     0.4778197E+02     0.4432696E-01
   0.1316522E+05     0.1495541E+01     0.4208181E+02     0.3897516E-01
   0.1317699E+05     0.1496430E+01     0.3431501E+02     0.3195361E-01
   0.1318875E+05     0.1497134E+01     0.2603414E+02     0.2459361E-01
